threshold,nodes,edges,weight,distance
3.0,463.0,696.0,3058.0,32.0
3.1,463.0,804.0,3429.0,25.0
3.2,463.0,903.0,3777.0,25.0
3.3,463.0,1058.0,4237.0,22.0
3.4,463.0,1221.0,4874.0,21.0
3.5,463.0,1356.0,5637.0,19.0
3.6,463.0,1475.0,6484.0,18.0
3.7,463.0,1594.0,7533.0,18.0
3.8,463.0,1728.0,8723.0,17.0
3.9,463.0,1832.0,10093.0,16.0
4.0,463.0,1932.0,11180.0,15.0
4.1,463.0,2022.0,12399.0,15.0
4.2,463.0,2089.0,13688.0,14.0
4.3,463.0,2169.0,15291.0,13.0
4.4,463.0,2230.0,16852.0,13.0
4.5,463.0,2290.0,18712.0,13.0
4.6,463.0,2361.0,20742.0,13.0
4.7,463.0,2401.0,22798.0,13.0
4.8,463.0,2450.0,25120.0,13.0
4.9,463.0,2518.0,27731.0,13.0
5.0,463.0,2567.0,30148.0,13.0
5.1,463.0,2653.0,32440.0,13.0
5.2,463.0,2737.0,34757.0,13.0
5.3,463.0,2793.0,37193.0,13.0
5.4,463.0,2850.0,39707.0,12.0
5.5,463.0,2917.0,42386.0,11.0
5.6,463.0,2965.0,45184.0,11.0
5.7,463.0,3025.0,48147.0,11.0
5.8,463.0,3096.0,51215.0,11.0
5.9,463.0,3152.0,54236.0,11.0
6.0,463.0,3230.0,57499.0,11.0
6.1,463.0,3318.0,60867.0,11.0
6.2,463.0,3391.0,64058.0,11.0
6.3,463.0,3487.0,67291.0,11.0
6.4,463.0,3586.0,70547.0,10.0
6.5,463.0,3686.0,73936.0,10.0
6.6,463.0,3781.0,77418.0,10.0
6.7,463.0,3886.0,81014.0,10.0
6.8,463.0,4020.0,84813.0,10.0
6.9,463.0,4173.0,88698.0,10.0
7.0,463.0,4361.0,92603.0,10.0
7.1,463.0,4554.0,96401.0,10.0
7.2,463.0,4714.0,100265.0,10.0
7.3,463.0,4856.0,104419.0,9.0
7.4,463.0,5003.0,108660.0,9.0
7.5,463.0,5165.0,112782.0,9.0
7.6,463.0,5340.0,116969.0,9.0
7.7,463.0,5517.0,121380.0,9.0
7.8,463.0,5682.0,125749.0,9.0
7.9,463.0,5865.0,130310.0,8.0
8.0,463.0,6041.0,135039.0,8.0
8.1,463.0,6179.0,139823.0,8.0
8.2,463.0,6336.0,144779.0,8.0
8.3,463.0,6463.0,149688.0,8.0
8.4,463.0,6604.0,154825.0,8.0
8.5,463.0,6736.0,159987.0,8.0
8.6,463.0,6861.0,165263.0,8.0
8.7,463.0,6976.0,170748.0,8.0
8.8,463.0,7136.0,176380.0,8.0
8.9,463.0,7307.0,182124.0,8.0
9.0,463.0,7454.0,187835.0,7.0
9.1,463.0,7653.0,193548.0,7.0
9.2,463.0,7830.0,199428.0,7.0
9.3,463.0,8015.0,205563.0,7.0
9.4,463.0,8203.0,211762.0,7.0
9.5,463.0,8376.0,218040.0,7.0
9.6,463.0,8551.0,224588.0,7.0
9.7,463.0,8714.0,231371.0,7.0
9.8,463.0,8885.0,238050.0,7.0
9.9,463.0,9089.0,244901.0,7.0
10.0,463.0,9274.0,251855.0,7.0
